Abaca, n., The Manila-hemp plant (Musa textilis); also
Trowl, n., See Troll.
Trubu, n., An East India herring (Clupea toli) which is extensively caught for the sake of its roe and for its flesh.
Truce, n., A suspension of arms by agreement of the commanders of opposing forces; a temporary cessation of hostilities
Truce, n., Hence
Truck, v. i., A small wheel
Truck, v. i., A low
Truck, v. i., A swiveling carriage
Truck, v. i., A small wooden cap at the summit of a flagstaff or a masthead
Truck, v. i., A small piece of wood
Truck, v. i., A freight car.
Truck, v. i., A frame on low wheels or rollers; -- used for various purposes
Truck, v. t., To transport on a truck or trucks.
Truck, v. t., To exchange; to give in exchange; to barter; as
Truck, v. i., To exchange commodities; to barter; to trade; to deal.
Truck, n., Exchange of commodities; barter.
Truck, n., Commodities appropriate for barter
Truck, n., The practice of paying wages in goods instead of money; -- called also truck system.
Trull, n., A drab; a strumpet; a harlot; a trollop.
Trull, n., A girl; a wench; a lass.
Truly, adv., In a true manner; according to truth; in agreement with fact; as
Truly, adv., Exactly; justly; precisely; accurately; as
Truly, adv., Sincerely; honestly; really; faithfully; as
Truly, adv., Conformably to law; legally; legitimately.
Truly, adv., In fact; in deed; in reality; in truth.
Trump, n., A wind instrument of music; a trumpet
Trump, v. i., To blow a trumpet.
Trump, n., A winning card; one of a particular suit (usually determined by chance for each deal) any card of which takes any card of the other suits.
Trump, n., An old game with cards
Trump, n., A good fellow; an excellent person.
Trump, v. i., To play a trump card when one of another suit has been led.
Trump, v. t., To play a trump card upon; to take with a trump card; as
Trump, v. t., To trick
Trump, v. t., To impose unfairly; to palm off.
Trunk, n., The stem
Trunk, n., The body of an animal
Trunk, n., The main body of anything; as
Trunk, n., That part of a pilaster which is between the base and the capital
Trunk, n., That segment of the body of an insect which is between the head and abdomen
Trunk, n., The proboscis of an elephant.
Trunk, n., The proboscis of an insect.
Trunk, n., A long tube through which pellets of clay
Trunk, n., A box or chest usually covered with leather
Trunk, n., A flume or sluice in which ores are separated from the slimes in which they are contained.
Trunk, n., A large pipe forming the piston rod of a steam engine
Trunk, n., A long
Trunk, v. t., To lop off; to curtail; to truncate; to maim.
Trunk, v. t., To extract (ores) from the slimes in which they are contained
Truss, n., A bundle; a package; as
Truss, n., A padded jacket or dress worn under armor
Truss, n., A bandage or apparatus used in cases of hernia
Truss, n., A tuft of flowers formed at the top of the main stalk
Truss, n., The rope or iron used to keep the center of a yard to the mast.
Truss, n., An assemblage of members of wood or metal
Truss, n., To bind or pack close; to make into a truss.
Truss, n., To take fast hold of; to seize and hold firmly; to pounce upon.
Truss, n., To strengthen or stiffen
Truss, n., To skewer; to make fast
Truss, n., To execute by hanging; to hang; -- usually with up.
Trust, n., Assured resting of the mind on the integrity
Trust, n., Credit given; especially
Trust, n., Assured anticipation; dependence upon something future or contingent
Trust, n., That which is committed or intrusted to one; something received in confidence; charge; deposit.
Trust, n., The condition or obligation of one to whom anything is confided; responsible charge or office.
Trust, n., That upon which confidence is reposed; ground of reliance; hope.
Trust, n., An estate devised or granted in confidence that the devisee or grantee shall convey it
Trust, n., An organization formed mainly for the purpose of regulating the supply and price of commodities
Trust, a., Held in trust; as
Trust, n., To place confidence in; to rely on
Trust, n., To give credence to; to believe; to credit.
Trust, n., To hope confidently; to believe; -- usually with a phrase or infinitive clause as the object.
Trust, n., to show confidence in a person by intrusting (him) with something.
Trust, n., To commit
Trust, n., To give credit to; to sell to upon credit
Trust, n., To risk; to venture confidently.
Trust, v. i., To have trust; to be credulous; to be won to confidence; to confide.
Trust, v. i., To be confident
Trust, v. i., To sell or deliver anything in reliance upon a promise of payment; to give credit.
Truth, n., The quality or being true; as: -- (a) Conformity to fact or reality; exact accordance with that which is
Truth, n., Conformity to rule; exactness; close correspondence with an example
Truth, n., Fidelity; constancy; steadfastness; faithfulness.
Truth, n., The practice of speaking what is true; freedom from falsehood; veracity.
Truth, n., That which is true or certain concerning any matter or subject
Truth, n., A true thing; a verified fact; a true statement or proposition; an established principle
Truth, n., Righteousness; true religion.
Truth, v. t., To assert as true; to declare.
tried, imp. & p. p., of Try
Tryst, n., Trust.
Tryst, n., An appointment to meet; also
Tryst, n., To trust.
Tryst, n., To agree with to meet at a certain place; to make an appointment with.
Tryst, v. i., To mutually agree to meet at a certain place.
Tsebe, n., The springbok.
Tubal, a., Of or pertaining to a tube; specifically
Tubby, a., Resembling a tub; specifically sounding dull and without resonance
Tubed, imp. & p. p., of Tube
Tuber, n., A fleshy
Tuber, n., A genus of fungi. See Truffle.
Tuber, n., A tuberosity; a tubercle.
Tucan, n., The Mexican pocket gopher (Geomys Mexicanus). It resembles the common pocket gopher of the Western United States
Tucet, n., See Tucket
Tucum, n., A fine
Tudor, a., Of or pertaining to a royal line of England
Tufty, a., Abounding with tufts.
Tufty, a., Growing in tufts or clusters.
Tugan, n., Same as Tucan.
Tulle, n., In plate armor
Tulip, n., Any plant of the liliaceous genus Tulipa. Many varieties are cultivated for their beautiful
Tulle, n., A kind of silk lace or light netting
Tumid, a., Swelled
Tumid, a., Rising above the level; protuberant.
Tumid, a., Swelling in sound or sense; pompous; puffy; inflated; bombastic; falsely sublime; turgid; as
Tumor, n., A morbid swelling
Tumor, n., Affected pomp; bombast; swelling words or expressions; false magnificence or sublimity.
Tuned, imp. & p. p., of Tune
Tuner, n., One who tunes; especially
Tunic, n., An under-garment worn by the ancient Romans of both sexes. It was made with or without sleeves
Tunic, n., Any similar garment worm by ancient or Oriental peoples; also
Tunic, n., Same as Tunicle.
Tunic, n., A membrane
Tunic, n., A natural covering; an integument; as
Tunic, n., See Mantle
Tunny, n., Any one of several species of large oceanic fishes belonging to the Mackerel family
Tupal, n., Any one of the tupaiids.
Turbo, n., Any one of numerous marine gastropods of the genus Turbo or family Turbinidae
Turfs, pl., of Turf
Turfy, superl., Abounding with turf; made of
Turfy, superl., Having the nature or appearance of turf.
Turfy, superl., Of or pertaining to the turf
Turio, n., A shoot or sprout from the ground.
Turko, n., One of a body of native Algerian tirailleurs in the French army
Tusky, a., Having tusks.
Tutor, n., One who guards
Tutor, n., A treasurer; a keeper.
Tutor, n., One who has the charge of a child or pupil and his estate; a guardian.
Tutor, n., A private or public teacher.
Tutor, n., An officer or member of some hall
Tutor, n., An instructor of a lower rank than a professor.
Tutor, v. t., To have the guardianship or care of; to teach; to instruct.
Tutor, v. t., To play the tutor toward; to treat with authority or severity.
Tutti, n. pl., All; -- a direction for all the singers or players to perform together.
Tutty, n., A yellow or brown amorphous substance obtained as a sublimation product in the flues of smelting furnaces of zinc
Twain, a. & n., Two; -- nearly obsolete in common discourse
Twang, n., A tang. See Tang a state.
Twang, v. i., To sound with a quick
Twang, v. t., To make to sound
Twang, n., A harsh
Twang, n., An affected modulation of the voice; a kind of nasal sound.
Twank, v. t., To cause to make a sharp twanging sound; to twang
Tweag, v. t., To tweak.
Tweag, n., Alt. of Tweague
Tweak, v. t., To pinch and pull with a sudden jerk and twist; to twitch; as
Tweak, n., A sharp pinch or jerk; a twist or twitch; as
Tweak, n., Trouble; distress; tweag.
Tweak, n., A prostitute.
Tweed, n., A soft and flexible fabric for men's wear
Tweel, n. & v., See Twill.
Tweer, n., Same as Tuyere.
Twice, adv., Two times; once and again.
Twice, adv., Doubly; in twofold quantity or degree; as
Twill, v. i., To weave
Twill, v. t., An appearance of diagonal lines or ribs produced in textile fabrics by causing the weft threads to pass over one and under two
Twill, v. t., A fabric women with a twill.
Twill, v. t., A quill
Twilt, n., A quilt.
Twine, n., A twist; a convolution.
Twine, n., A strong thread composed of two or three smaller threads or strands twisted together
Twine, n., The act of twining or winding round.
Twine, n., To twist together; to form by twisting or winding of threads; to wreathe; as
Twine, n., To wind
Twine, n., To wind about; to embrace; to entwine.
Twine, n., To change the direction of.
Twine, n., To mingle; to mix.
Twine, v. i., To mutually twist together; to become mutually involved.
Twine, v. i., To wind; to bend; to make turns; to meander.
Twine, v. i., To turn round; to revolve.
Twine, v. i., To ascend in spiral lines about a support; to climb spirally; as
Twink, v. i., To twinkle.
Twink, n., A wink; a twinkling.
Twink, n., The chaffinch.
Twire, n., A twisted filament; a thread.
Twire, v. i., To peep; to glance obliquely; to leer.
Twire, v. i., To twinkle; to glance; to gleam.
Twire, v. i., To sing
Twirl, v. t., To move or turn round rapidly; to whirl round; to move and turn rapidly with the fingers.
Twirl, v. i., To revolve with velocity; to be whirled round rapidly.
Twirl, n., The act of twirling; a rapid circular motion; a whirl or whirling; quick rotation.
Twirl, n., A twist; a convolution.
Twist, v. t., To contort; to writhe; to complicate; to crook spirally; to convolve.
Twist, v. t., Hence
Twist, v. t., To distort
Twist, v. t., To wreathe; to wind; to encircle; to unite by intertexture of parts.
Twist, v. t., To wind into; to insinuate; -- used reflexively; as
Twist, v. t., To unite by winding one thread
Twist, v. t., Hence
Twist, v. t., To form into a thread from many fine filaments; as
Twist, v. i., To be contorted; to writhe; to be distorted by torsion; to be united by winding round each other; to be or become twisted; as
Twist, v. i., To follow a helical or spiral course; to be in the form of a helix.
Twist, n., The act of twisting; a contortion; a flexure; a convolution; a bending.
Twist, n., The form given in twisting.
Twist, n., That which is formed by twisting
Twist, n., A cord
Twist, n., A kind of closely twisted
Twist, n., A kind of cotton yarn
Twist, n., A roll of twisted dough
Twist, n., A little twisted roll of tobacco.
Twist, n., One of the threads of a warp
Twist, n., A material for gun barrels
Twist, n., The spiral course of the rifling of a gun barrel or a cannon.
Twist, n., A beverage made of brandy and gin.
Twist, v. t., A twig.
Twite, n., The European tree sparrow.
Twite, n., The mountain linnet (Linota flavirostris).
Tyger, n., A tiger.
Tying, , p. pr. of Tie.
Tying, n., The act or process of washing ores in a buddle.
Tyler, n., See 2d Tiler.
Typal, a., Relating to a type or types; belonging to types; serving as a type; typical.
-type, n., A combining form signifying impressed form; stamp; print; type; typical form; representative; as in stereotype phototype
Typed, imp. & p. p., of Type
Typic, a., Typical.
Tyran, n., A tyrant.
Tyros, pl., of Tyro
Tythe, n., See Tithe.
Udder, n., The glandular organ in which milk is secreted and stored; -- popularly called the bag in cows and other quadrupeds. See Mamma.
Udder, n., One of the breasts of a woman.
Uhlan, n., One of a certain description of militia among the Tartars.
Uhlan, n., One of a kind of light cavalry of Tartaric origin
Ukase, n., In Russia
Ulcer, n., A solution of continuity in any of the soft parts of the body
Ulcer, n., Fig.: Anything that festers and corrupts like an open sore; a vice in character.
Ulcer, v. t., To ulcerate.
Ulema, n., A college or corporation in Turkey composed of the hierarchy
Ullet, n., A European owl (Syrnium aluco) of a tawny color; -- called also uluia.
Ulmic, a., Pertaining to ulmin; designating an acid obtained from ulmin.
Ulmin, n., A brown amorphous substance found in decaying vegetation. Cf. Humin.
Ulmus, n., A genus of trees including the elm.
Ulnar, a., Of or pertaining to the ulna
Ultra, a., Going beyond others
Ultra, n., One who advocates extreme measures; an ultraist; an extremist; a radical.
Ulula, n., A genus of owls including the great gray owl (Ulula cinerea) of Arctic America
Umbel, n., A kind of flower cluster in which the flower stalks radiate from a common point
Umber, n., A brown or reddish pigment used in both oil and water colors
Umber, n., An umbrere.
Umber, n., See Grayling
Umber, n., An African wading bird (Scopus umbretta) allied to the storks and herons. It is dull dusky brown
Umber, a., Of or pertaining to umber; resembling umber; olive-brown; dark brown; dark; dusky.
Umber, v. t., To color with umber; to shade or darken; as
Umbos, pl., of Umbo
Umbra, n., The conical shadow projected from a planet or satellite
Umbra, n., The central dark portion
Umbra, n., The fainter part of a sun spot; -- now more commonly called penumbra.
Umbra, n., Any one of several species of sciaenoid food fishes of the genus Umbrina
Umbre, n., See Umber.
Unapt, a., Inapt; slow; dull.
Unapt, a., Unsuitable; unfit; inappropriate.
Unapt, a., Not accustomed and not likely; not disposed.
Unarm, v. t., To disarm.
Unarm, v. i., To puff off
Unbag, v. t., To pour
Unbar, v. t., To remove a bar or bars from; to unbolt; to open; as
Unbay, v. t., To free from the restraint of anything that surrounds or incloses; to let loose; to open.
Unbed, v. t., To raise or rouse from bed.
Unbid, a., Alt. of Unbidden
Unbit, v. t., To remove the turns of (a rope or cable) from the bits; as
Unbow, v. t., To unbend.
Unbox, v. t., To remove from a box or boxes.
Unboy, v. t., To divest of the traits of a boy.
Uncap, v. t., To remove a cap or cover from.
Uncia, n., A twelfth part
Uncia, n., A numerical coefficient in any particular case of the binomial theorem.
Uncle, n., The brother of one's father or mother; also applied to an aunt's husband; -- the correlative of aunt in sex
Uncle, n., A pawnbroker.
Uncus, n., A hook or claw.
Uncut, a., Not cut; not separated or divided by cutting or otherwise; -- said especially of books
Uncut, a., Not ground
Undam, v. t., To free from a dam
Under, prep., Below or lower
Under, prep., Denoting relation to some thing or person that is superior
Under, prep., Denoting relation to something that exceeds in rank or degree
Under, prep., Denoting relation to something that comprehends or includes
Under, prep., Less specifically
Under, adv., In a lower
Under, a., Lower in position
Undid, , imp. of Undo.
Undue, a., Not due; not yet owing; as
Undue, a., Not right; not lawful or legal; improper; as
Undue, a., Not agreeable to a rule or standard
Ubeth, adv., Alt. of Unethes
Unfit, v. t., To make unsuitable or incompetent; to deprive of the strength
Unfit, a., Not fit; unsuitable.
Unfix, v. t., To loosen from a fastening; to detach from anything that holds; to unsettle; as
Unfix, v. t., To make fluid; to dissolve.
Unget, v. t., To cause to be unbegotten or unborn
Ungka, n., The siamang; -- called also ungka ape.
Ungod, v. t., To deprive of divinity; to undeify.
Ungod, v. t., To cause to recognize no god; to deprive of a god; to make atheistical.
Ungot, a., Alt. of Ungotten
Unhap, n., Ill luck; misfortune.
Unhat, v. t. & i., To take off the hat of; to remove one's hat
Uniat, n., Alt. of Uniate
Unify, v. t., To cause to be one; to make into a unit; to unite; to view as one.
Union, n., The act of uniting or joining two or more things into one
Union, n., Agreement and conjunction of mind
Union, n., That which is united
Union, n., A textile fabric composed of two or more materials
Union, n., A large
Union, n., A device emblematic of union
Union, n., A joint or other connection uniting parts of machinery
Union, n., A cask suspended on trunnions
Unite, v. t., To put together so as to make one; to join
Unite, v. t., Hence
Unite, v. i., To become one; to be cemented or consolidated; to combine
Unite, v. i., To join in an act; to concur; to act in concert; as
Unite, v. t., United; joint; as
Unity, n., The state of being one; oneness.
Unity, n., Concord; harmony; conjunction; agreement; uniformity; as
Unity, n., Any definite quantity
Unity, n., In dramatic composition
Unity, n., Such a combination of parts as to constitute a whole
Unity, n., The peculiar characteristics of an estate held by several in joint tenancy.
Unked, a., Odd; strange; ugly; old; uncouth.
Unked, a., Lonely; dreary; unkard.
Unkle, n., See Uncle.
Unlap, v. t., To unfold.
Unlaw, v. t., To deprive of the authority or character of law.
Unlaw, v. t., To put beyond protection of law; to outlaw.
Unlaw, v. t., To impose a fine upon; to fine.
Unlaw, n., Any transgression or offense against the law.
Unlaw, n., A fine imposed as a penalty for violation of the law.
Unlay, v. t., To untwist; as
Unman, v. t., To deprive of the distinctive qualities of a human being
Unman, v. t., To emasculate; to deprive of virility.
Unman, v. t., To deprive of the courage and fortitude of a man; to break or subdue the manly spirit in; to cause to despond; to dishearten; to make womanish.
Unman, v. t., To deprive of men; as
Unmew, v. t., To release from confinement or restraint.
Unnun, v. t., To remove from condition of being a nun.
Unoil, v. t., To remove the oil from.
Unpay, v. t., To undo
Unpeg, v. t., To remove a peg or pegs from; to unfasten; to open.
Unpen, v. t., To release from a pen or from confinement.
Unpin, v. t., To loose from pins; to remove the pins from; to unfasten; as
Unrig, v. t., To strip of rigging; as
Unrip, v. t., To rip; to cut open.
Unsad, a., Unsteady; fickle.
Unsay, v. t., To recant or recall
Unset, a., Not set; not fixed or appointed.
Unsew, v. t., To undo
Unsex, v. t., To deprive of sex
Unsin, v. t., To deprive of sinfulness
Untie, v. t., To loosen
Untie, v. t., To free from fastening or from restraint; to let loose; to unbind.
Untie, v. t., To resolve; to unfold; to clear.
Untie, v. i., To become untied or loosed.
Until, prep., To; unto; towards; -- used of material objects.
Until, prep., To; up to; till; before; -- used of time; as
Until, conj., As far as; to the place or degree that; especially
Unwit, v. t., To deprive of wit.
Unwit, n., Want of wit or understanding; ignorance.
Upbar, v. t., To fasten with a bar.
Upbar, v. t., To remove the bar or bards of
Upend, v. t., To end up; to set on end
Uphaf, , imp. of Upheave.
Upher, n., A fir pole of from four to seven inches diameter
Uplay, v. t., To hoard.
Upper, comp., Being further up
Upper, n., The upper leather for a shoe; a vamp.
Uprun, v. i., To run up; to ascend.
Upset, v. t., To set up; to put upright.
Upset, v. t., To thicken and shorten
Upset, v. t., To shorten (a tire) in the process of resetting
Upset, v. t., To overturn
Upset, v. t., To disturb the self-possession of; to disorder the nerves of; to make ill; as
Upset, v. i., To become upset.
Upset, a., Set up; fixed; determined; -- used chiefly or only in the phrase upset price; that is
Upset, n., The act of upsetting
Upsun, n., The time during which the sun is up
Uptie, v. t., To tie up.
Upupa, n., A genus of birds which includes the common hoopoe.
Upyat, , imp. of Upgive.
Urali, n., See Curare.
Urare, n., Alt. of Urari
Urari, n., See Curare.
Urate, n., A salt of uric acid; as
Urban, a., Of or belonging to a city or town; as
Urban, a., Belonging to
Ureal, a., Of or pertaining to urea; containing
Uredo, n., One of the stages in the life history of certain rusts (Uredinales)
Uredo, n., Nettle rash. See Urticaria.
-uret, , A suffix with the same meaning as -ide. See -ide.
Urged, imp. & p. p., of Urge
Urger, n., One who urges.
Urine, n., In mammals
Urine, v. i., To urinate.
Urite, n., One of the segments of the abdomen or post-abdomen of arthropods.
Urith, n., The bindings of a hedge.
Urnal, a., Of or pertaining to an urn; effected by an urn or urns.
Ursal, n., The ursine seal. See the Note under 1st Seal.
Urson, n., The Canada porcupine. See Porcupine.
Ursuk, n., The bearded seal.
Ursus, n., A genus of Carnivora including the common bears.
Urubu, n., The black vulture (Catharista atrata). It ranges from the Southern United States to South America. See Vulture.
Usage, n., The act of using; mode of using or treating; treatment; conduct with respect to a person or a thing; as
Usage, n., Manners; conduct; behavior.
Usage, n., Long-continued practice; customary mode of procedure; custom; habitual use; method.
Usage, n., Customary use or employment
Usage, n., Experience.
Usant, a., Using; accustomed.
Using, p. pr. & vb. n., of Use
Usher, n., An officer or servant who has the care of the door of a court
Usher, n., An under teacher
Usher, v. t., To introduce or escort
Usnea, n., A genus of lichens
Usnic, a., Pertaining to
Usual, n., Such as is in common use; such as occurs in ordinary practice
Usure, v. i., To practice usury; to charge unlawful interest.
Usure, n., Usury.
Usurp, v. t., To seize
Usurp, v. i., To commit forcible seizure of place
Usury, v. t., A premium or increase paid
Usury, v. t., The practice of taking interest.
Usury, v. t., Interest in excess of a legal rate charged to a borrower for the use of money.
Utica, a., Of
Utile, v. t., Profitable; useful.
Utter, a., Outer.
Utter, a., Situated on the outside
Utter, a., Complete; perfect; total; entire; absolute; as
Utter, a., Peremptory; unconditional; unqualified; final; as
Utter, a., To put forth or out; to reach out.
Utter, a., To dispose of in trade; to sell or vend.
Utter, a., hence
Utter, a., To give public expression to; to disclose; to publish; to speak; to pronounce.
Uvate, n., A conserve made of grapes.
Uvrou, n., See Euphroe.
Uvula, n., The pendent fleshy lobe in the middle of the posterior border of the soft palate.
Uzema, n., A Burman measure of twelve miles.
Vacua, pl., of Vacuum
Vagal, a., Of or pertaining to the vagus
Vague, v. i., Wandering; vagrant; vagabond.
Vague, v. i., Unsettled; unfixed; undetermined; indefinite; ambiguous; as
Vague, v. i., Proceeding from no known authority; unauthenticated; uncertain; flying; as
Vague, n., An indefinite expanse.
Vague, v. i., To wander; to roam; to stray.
Vague, n., A wandering; a vagary.
Vagus, a., Wandering; -- applied especially to the pneumogastric nerve.
Vagus, n., The vagus
Vairy, n., Charged with vair; variegated with shield-shaped figures. See Vair.
Valet, n., A male waiting servant; a servant who attends on gentleman's person; a body servant.
Valet, n., A kind of goad or stick with a point of iron.
Valid, a., Strong; powerful; efficient.
Valid, a., Having sufficient strength or force; founded in truth; capable of being justified
Valid, a., Having legal strength or force; executed with the proper formalities; incapable of being rightfully overthrown or set aside; as
Valla, pl., of Vallum
Valor, n., Value; worth.
Valor, n., Strength of mind in regard to danger; that quality which enables a man to encounter danger with firmness; personal bravery; courage; prowess; intrepidity.
Valor, n., A brave man; a man of valor.
Value, n., The property or aggregate properties of a thing by which it is rendered useful or desirable
Value, n., Worth estimated by any standard of purchasing power
Value, n., Precise signification; import; as
Value, n., Esteem; regard.
Value, n., The relative length or duration of a tone or note
Value, n., In an artistical composition
Value, n., Valor.
Value, v. t., To estimate the value
Value, v. t., To rate highly; to have in high esteem; to hold in respect and estimation; to appreciate; to prize; as
Value, v. t., To raise to estimation; to cause to have value
Value, v. t., To be worth; to be equal to in value.
Valve, n., A door; especially
Valve, n., A lid
Valve, n., One or more membranous partitions
Valve, n., One of the pieces into which a capsule naturally separates when it bursts.
Valve, n., One of the two similar portions of the shell of a diatom.
Valve, n., A small portion of certain anthers
Valve, n., One of the pieces or divisions of bivalve or multivalve shells.
Vapid, a., Having lost its life and spirit; dead; spiritless; insipid; flat; dull; unanimated; as
Vapor, n., Any substance in the gaseous
Vapor, n., In a loose and popular sense
Vapor, n., Wind; flatulence.
Vapor, n., Something unsubstantial
Vapor, n., An old name for hypochondria
Vapor, n., A medicinal agent designed for administration in the form of inhaled vapor.
Vapor, n., To pass off in fumes
Vapor, n., To emit vapor or fumes.
Vapor, n., To talk idly; to boast or vaunt; to brag.
Vapor, v. t., To send off in vapor
Varan, n., The monitor. See Monitor
Varec, n., The calcined ashes of any coarse seaweed used for the manufacture of soda and iodine; also
Varix, n., A uneven
Varix, n., One of the prominent ridges or ribs extending across each of the whorls of certain univalve shells.
Vasty, a., Vast; immense.
Vasum, n., A genus including several species of large marine gastropods having massive pyriform shells
Vault, n., An arched structure of masonry
Vault, n., An arched apartment; especially
Vault, n., The canopy of heaven; the sky.
Vault, n., A leap or bound.
Vault, n., The bound or leap of a horse; a curvet.
Vault, n., A leap by aid of the hands
Vault, v. t., To form with a vault
Vault, v. i., To leap over; esp.
Vault, n., To leap; to bound; to jump; to spring.
Vault, n., To exhibit feats of tumbling or leaping; to tumble.
Vaunt, v. i., To boast; to make a vain display of one's own worth
Vaunt, v. t., To boast of; to make a vain display of; to display with ostentation.
Vaunt, n., A vain display of what one is
Vaunt, n., The first part.
Vaunt, v. t., To put forward; to display.
Vauty, a., Vaulted.
Vedro, n., A Russian liquid measure
Veery, n., An American thrush (Turdus fuscescens) common in the Northern United States and Canada. It is light tawny brown above. The breast is pale buff
Veiny, a., Full of veins; veinous; veined; as
Velar, a., Of or pertaining to a velum; esp. (Anat.) of or pertaining to the soft palate.
Velar, a., Having the place of articulation on the soft palate; guttural; as
Velum, n., Curtain or covering; -- applied to various membranous partitions
Velum, n., See Veil
Velum, n., A thin membrane surrounding the sporocarps of quillworts Isoetes).
Velum, n., A veil-like organ or part.
Velum, n., The circular membrane that partially incloses the space beneath the umbrella of hydroid medusae.
Velum, n., A delicate funnel-like membrane around the flagellum of certain Infusoria. See Illust. a of Protozoa.
Venae, pl., of Vena
Venal, a., Of or pertaining to veins; venous; as
Venal, a., Capable of being bought or obtained for money or other valuable consideration; made matter of trade or barter; held for sale; salable; mercenary; purchasable; hireling; as
Vends, n. pl., See Wends.
Venew, n., A bout
Veney, n., A bout; a thrust; a venew.
Venge, v. t., To avenge; to punish; to revenge.
Venom, n., Matter fatal or injurious to life; poison; particularly
Venom, n., Spite; malice; malignity; evil quality. Chaucer.
Venom, n., To infect with venom; to envenom; to poison.
Venue, n., A neighborhood or near place; the place or county in which anything is alleged to have happened; also
Venue, n., A bout; a hit; a turn. See Venew.
Venus, n., The goddess of beauty and love
Venus, n., One of the planets
Venus, n., The metal copper; -- probably so designated from the ancient use of the metal in making mirrors
Venus, n., Any one of numerous species of marine bivalve shells of the genus Venus or family Veneridae. Many of these shells are large
Verge, n., A rod or staff
Verge, n., The stick or wand with which persons were formerly admitted tenants
Verge, n., The compass of the court of Marshalsea and the Palace court
Verge, n., A virgate; a yardland.
Verge, n., A border
Verge, n., A circumference; a circle; a ring.
Verge, n., The shaft of a column
Verge, n., The edge of the tiling projecting over the gable of a roof.
Verge, n., The spindle of a watch balance
Verge, n., The edge or outside of a bed or border.
Verge, n., A slip of grass adjoining gravel walks
Verge, n., The penis.
Verge, n., The external male organ of certain mollusks
Verge, v. i., To border upon; to tend; to incline; to come near; to approach.
Verge, v. i., To tend downward; to bend; to slope; as
Verse, n., A line consisting of a certain number of metrical feet (see Foot
Verse, n., Metrical arrangement and language; that which is composed in metrical form; versification; poetry.
Verse, n., A short division of any composition.
Verse, n., A stanza; a stave; as
Verse, n., One of the short divisions of the chapters in the Old and New Testaments.
Verse, n., A portion of an anthem to be performed by a single voice to each part.
Verse, n., A piece of poetry.
Verse, v. t., To tell in verse
Verse, v. i., To make verses; to versify.
Verso, n., The reverse
Verst, n., A Russian measure of length containing 3
Vertu, n., Virtue; power. See Virtue.
Vertu, n., See Virtu.
Verve, n., Excitement of imagination such as animates a poet
Vespa, n., A genus of Hymenoptera including the common wasps and hornets.
Vesta, n., One of the great divinities of the ancient Romans
Vesta, n., An asteroid
Vesta, n., A wax friction match.
Vetch, n., Any leguminous plant of the genus Vicia
Vexed, imp. & p. p., of Vex
Vexed, a., Annoyed; harassed; troubled.
Vexed, a., Much debated or contested; causing discussion; as
Vexer, n., One who vexes or troubles.
Vexil, n., A vexillum.
Viage, n., A voyage; a journey.
Viand, n., An article of food; provisions; food; victuals; -- used chiefly in the plural.
Viary, a., Of or pertaining to roads; happening on roads.
Vicar, n., One deputed or authorized to perform the functions of another; a substitute in office; a deputy.
Vicar, n., The incumbent of an appropriated benefice.
Viced, imp. & p. p., of Vice
Viced, a., Vicious; corrupt.
Vying, p. pr. & vb. n., of Vie
Viewy, a., Having peculiar views; fanciful; visionary; unpractical; as
Viewy, a., Spectacular; pleasing to the eye or the imagination.
Vifda, n., In the Orkney and Shetland Islands
Vigil, v. i., Abstinence from sleep
Vigil, v. i., Hence
Vigil, v. i., Originally
Vigil, v. i., Later
Vigil, v. i., A religious service performed in the evening preceding a feast.
Vigor, n., Active strength or force of body or mind; capacity for exertion
Vigor, n., Strength or force in animal or force in animal or vegetable nature or action; as
Vigor, n., Strength; efficacy; potency.
Vigor, v. t., To invigorate.
Viled, a., Abusive; scurrilous; defamatory; vile.
Villa, n., A country seat; a country or suburban residence of some pretensions to elegance.
Villi, n., pl. of Villus.
Villi, pl., of Villus
Vimen, n., A long
Vined, a., Having leaves like those of the vine; ornamented with vine leaves.
Viner, n., A vinedresser.
Vinic, a., Of or pertaining to wine; as
Vinny, a., Vinnewed.
Vinyl, n., The hypothetical radical C2H3
Viola, n., A genus of polypetalous herbaceous plants
Viola, n., An instrument in form and use resembling the violin
Viole, n., A vial.
Viper, a., Any one of numerous species of Old World venomous makes belonging to Vipera
Viper, a., A dangerous
Vireo, n., Any one of numerous species of American singing birds belonging to Vireo and allied genera of the family Vireonidae. In many of the species the back is greenish
Virge, n., A wand. See Verge.
Virgo, n., A sign of the zodiac which the sun enters about the 21st of August
Virgo, n., A constellation of the zodiac
Virid, a., Green.
Virtu, n., A love of the fine arts; a taste for curiosities.
Virus, v. i., Contagious or poisonous matter
Virus, v. i., The special contagion
Virus, v. i., Fig.: Any morbid corrupting quality in intellectual or moral conditions; something that poisons the mind or the soul; as
Visit, v. t., To go or come to see
Visit, v. t., To go or come to see for inspection
Visit, v. t., To come to for the purpose of chastising
Visit, v. i., To make a visit or visits; to maintain visiting relations; to practice calling on others.
Visit, v. t., The act of visiting
Visit, v. t., The act of going to view or inspect; an official or formal inspection; examination; visitation; as
Visne, n., Neighborhood; vicinity; venue. See Venue.
Vison, n., The mink.
Visor, n., A part of a helmet
Visor, n., A mask used to disfigure or disguise.
Visor, n., The fore piece of a cap
Vista, n., A view; especially
Visto, n., A vista; a prospect.
Vital, a., Belonging or relating to life
Vital, a., Contributing to life; necessary to
Vital, a., Containing life; living.
